Antonia Bertolino; ISTI-CNR; Italy
Lori Clarke; University of Massachusetts; USA
Laurie Dillon; Michigan State University; USA
Matt Dwyer; Kansas State University; USA
Sebastian Elbaum; University of Nebraska - Lincoln; USA
Phyllis Frankl; Brooklyn Polytechnic University; USA
Patrice Godefroid; Bell Laboratories; USA
Michael Hind; IBM T. J. Watson Research Center; USA
Somesh Jha; University of Wisconsin; USA
Gleb Naumovich; Brooklyn Polytechnic University; USA
Alex Orso; Georgia Institute of Technology; USA
Sriram Rajamani; Microsoft Inc.; USA
David Rosenblum; University College; London; UK
Barbara G. Ryder; Rutgers University; USA
Gregor Snelting; Universität Passau; Germany
Scott Stoller; SUNY at Stony Brook; USA
Frank Tip; IBM T. J. Watson Research Center; USA
Andreas Zeller; Universität des Saarlandes; Germany
