2013;main;Angelo Susi;Fondazione Bruno Kessler – IRST
2013;main;Paolo Tonella;Fondazione Bruno Kessler – IRST
2013;main;Silvia Vergilio;Universidade Federal do Paraná
2013;main;Tanja Vos;Universidad Politécnica de Valencia
2013;main;Joachim Wegener;Berner and Mattner
2013;main;Westley Weimer;University of Virginia
2013;main;David White;University of Glasgow
2012;main;Enrique Alba;University of Málaga
2012;main;Giuliano Antoniol;Ecole Polytechnique de Montréal
2012;main;Andrea Arcuri;Simula Research Laboratory
2012;main;Marcio Barros;Universidade Federal do Estado do Rio de Janeiro
2012;main;Leonardo Bottaci;University of Hull
2012;main;Lionel Briand;University of Luxembourg
2012;main;Francisco Chicano;University of Málaga
2012;main;John Clark;University of York
2012;main;Mel Ó Cinnéide;University College Dublin
2012;main;Myra Cohen;University of Nebraska at Lincoln
2012;main;Massimiliano Di Penta;University of Sannio
2012;main;Robert Feldt;University of Blekinge
2012;main;Mark Harman;University College London
2012;main;Rob Hierons;Brunel University
2012;main;Colin Johnson;University of Kent
2012;main;Gregory Kapfhammer;Allegheny College
2012;main;Yvan Labiche;Carleton University
2012;main;Spiros Mancoridis;Drexel University
2012;main;Phil McMinn;University of Sheffield
2012;main;Pasqualina Potena;University of Bergamo
2012;main;Simon Poulding;University of York
2012;main;Xiao Qu;ABB Corporate Research
2012;main;Marek Reformat;University of Alberta
2012;main;Marc Roper;University of Strathclyde
2012;main;Guenther Ruhe;University of Calgary
2012;main;Paolo Tonella;Fondazione Bruno Kessler - IRST
2012;main;Silvia Vergilio;Universidade Federal do Paraná
2012;main;Tanja Vos;Universidad Politecnica de Valencia
2012;main;Westley Weimer;University of Virginia
2012;main;Yuanyaun Zhang;University College London
2011;main;Enrique Alba;University of Málaga
2011;main;Giuliano Antoniol;École Polytechnique de Montréal
2011;main;Andrea Arcuri;Simula Research Laboratory
2011;main;Rami Bahsoon;University of Birmingham
2011;main;Marcio Barros;Uni. Federal do Estado do Rio de Janeiro
2011;main;Leonardo Bottaci;University of Hull
2011;main;Jeremy Bradbury;University of Ontario Inst. of Tech.
2011;main;Francisco Chicano;University of Málaga
2011;main;Betty Cheng;Michigan State University
2011;main;John Clark;University of York
2011;main;Vittorio Cortellessa;University of L'Aquila
2011;main;Massimiliano Di Penta;University of Sannio
2011;main;Robert Feldt;Chalmers University of Technology
2011;main;Yann-Gaël Guéhéneuc;École Polytechnique de Montréal
2011;main;Gregory Kapfhammer;Allegheny College
2011;main;Mark Harman;University College London
2011;main;Rob Hierons;Brunel University
2011;main;Colin Johnson;University of Kent
2011;main;Yvan Labiche;Carleton University
2011;main;Spiros Mancoridis;Drexel University
2011;main;Mark O'Keeffe;Amartus Ltd.
2011;main;Simon Poulding;University of York
2011;main;Xiao Qu;ABB Research
2011;main;Marek Reformat;University of Alberta
2011;main;Marc Roper;University of Strathclyde
2011;main;Guenther Ruhe;University of Calgary
2011;main;Jerffeson Souza;Universidade Estadual do Ceará
2011;main;Paolo Tonella;Fondazione Bruno Kessler - IRST
2011;main;Laurence Tratt;Middlesex University
2011;main;Tanja Vos;Universidad Politecnica de Valencia
2011;main;Joachim Wegener;Berner & Mattner
2011;main;Tao Xie;North Carolina State University
2011;main;Shin Yoo;University College London
2011;main;Yuanyuan Zhang;University College London
