Ian Alexander; UK
Thomas Alspaugh; USA
Mikio Aoyama; Japan
Daniel Berry; Canada
David Callele; Canada
Jaelson Castro; Brazil
Betty Cheng; USA
Daniela Damian; Canada
Eric Dubois; Luxembourg
Christof Ebert; Germany
Martin Feather; USA
Stephen Fickas; USA
Anthony Finkelstein; UK
Michael Goedicke; Germany
Anthony Hall; UK
Mats Heimdahl; USA
Constance Heitmeyer; USA
Patrick Heymans; Belgium
Ann Hickey; USA
Michael Jackson; UK
Stan Jarzabek; Singapore	Marina Jirotka; UK
Haruhiko Kaiya; Japan
Kyo Kang; Korea
Soren Lauesen; Denmark
Julio Leite; Brazil
Michel Lemoine; France
Robyn Lutz; USA
Nazim Madhavji; Canada
John Mylopoulos; Canada
Andreas Opdahl; Norway
Oscar Pastor; Spain
Colin Potts; USA
Awais Rashid; UK
Bjorn Regnell; Sweden
Suzanne Robertson; UK
William Robinson; USA
Camille Salinesi; France
Guttorm Sindre; Norway
Eric Yu; Canada
Didar Zowghi; Australia
