Ian Alexander; UK
Annie Anton; USA
Mikio Aoyama; Japan
Brian Berenbach; USA
Daniel Berry; Canada
Jaelson Castro; Brazil
Marsha Chechik; Canada
Lawrence Chung; USA
Daniela Damian; Canada
Eric Dubois; Luxembourg
Christof Ebert; Germany
Martin Feather; USA
Anthony Finkelstein; UK
Xavier Franch; Spain
Donald Gause; USA
Michael Goedicke; Germany
Connie Heitmeyer; USA
Ann Hickey; USA
Marina Jirotka; UK
Haruhiko Kaiya; Japan
Kyo Kang; Korea
Marjo Kauppinen; Finland
Soeren Lauesen; Denmark
Julio Leite; Brazil
Michel Lemoine; France
Emmanuel Letier; UK
Peri Loucopoulos; UK
Robyn Lutz; USA
Kalle Lyytinen; USA
Nazim Madhavji; Canada
John Mylopoulos; Canada
Andreas Opdahl; Norway
Oscar Pastor; Spain
Norah Power; Ireland
Bala Ramesh; USA
Suzanne Robertson; UK
Motoshi Saeki; Japan
Camille Salinesi; France
Erik Simmons; USA
Guttorm Sindre; Norway
Eric Yu; Canada
Wei Zhang; China
Andrea Zisman; UK
Didar Zowghi; Australia
