2013;Sebastian Erdweg,Felix Rieger;A framework for extensible languages.;3-12;10;Extensible and domain-specific languages;
2013;Matthew Flatt;Submodules in racket: you want it when, again?;13-22;10;Extensible and domain-specific languages;
2013;Robert Dyer 0001,Hridesh Rajan,Tien N. Nguyen;Declarative visitors to ease fine-grained source code mining with full history on billions of AST nodes.;23-32;10;Extensible and domain-specific languages;
2013;Yuriy Solodkyy,Gabriel Dos Reis,Bjarne Stroustrup;Open pattern matching for C++.;33-42;10;Programming languages;
2013;Marko Martin,Mira Mezini,Sebastian Erdweg;Template constructors for reusable object initialization.;43-52;10;Programming languages;
2013;Julien Richard-Foy,Olivier Barais,Jean-Marc Jézéquel;Efficient high-level abstractions for web programming.;53-60;8;Programming languages;
2013;Prodromos Gerakios,Aggelos Biboudis,Yannis Smaragdakis;Reified type parameters using Java annotations.;61-64;4;Programming languages;
2013;Sandro Schulze,Jörg Liebig,Janet Siegmund,Sven Apel;Does the discipline of preprocessor annotations matter?: a controlled experiment.;65-74;10;Product-line implementation;
2013;Flávio Medeiros,Márcio Ribeiro,Rohit Gheyi;Investigating preprocessor-based syntax errors.;75-84;10;Product-line implementation;
2013;Dean Kramer,Samia Oussena,Peter Komisarczuk,Tony Clark;Using document-oriented GUIs in dynamic software product lines.;85-94;10;Product-line implementation;
2013;Norbert Siegmund,Alexander von Rhein,Sven Apel;Family-based performance measurement.;95-104;10;Analysis;
2013;Lukás Marek,Stephen Kell,Yudi Zheng,Lubomír Bulej,Walter Binder,Petr Tuma,Danilo Ansaloni,Aibek Sarimbekov,Andreas Sewe;ShadowVM: robust and comprehensive dynamic program analysis for the java platform.;105-114;10;Analysis;
2013;Sergiy S. Kolesnikov,Alexander von Rhein,Claus Hunsen,Sven Apel;A comparison of product-based, feature-based, and family-based type checking.;115-124;10;Analysis;
2013;Georg Ofenbeck,Tiark Rompf,Alen Stojanov,Martin Odersky,Markus Püschel;Spiral in scala: towards the systematic construction of generators for performance libraries.;125-134;10;Staging and synthesis;
2013;Peter C. Chapin,Christian Skalka,Scott F. Smith,Michael Watson;Scalaness/nesT: type specialized staged programming for sensor networks.;135-144;10;Staging and synthesis;
2013;Arvind K. Sujeeth,Austin Gibbons,Kevin J. Brown,HyoukJoong Lee,Tiark Rompf,Martin Odersky,Kunle Olukotun;Forge: generating a high performance DSL implementation from a declarative specification.;145-154;10;Staging and synthesis;
2013;Darya Kurilova,Derek Rayside;On the simplicity of synthesizing linked data structure operations.;155-158;4;Staging and synthesis;
2013;Deepak Dhungana,Andreas A. Falkner,Alois Haselböck;Generation of conjoint domain models for system-of-systems.;159-168;10;Industrial applications;
2013;Fabio Paulo Basso,Raquel Mainardi Pillat,Toacy Cavalcante de Oliveira,Leandro Buss Becker;Supporting large scale model transformation reuse.;169-178;10;Industrial applications;
2013;Kyoungho An,Takayuki Kuroda,Aniruddha S. Gokhale,Sumant Tambe,Andrea Sorbini;Model-driven generative framework for automated OMG DDS performance testing in the cloud.;179-182;4;Industrial applications;
