2016;Troh Josselin Dea;Improving the Performance of Many-Objective Software Refactoring Technique Using Dimensionality Reduction.;http://dx.doi.org/10.1007/978-3-319-47106-8_26;298-303;6;Graduate Student Papers;
2016;Jinsuk Lim,Shin Yoo;Field Report: Applying Monte Carlo Tree Search for Program Synthesis.;http://dx.doi.org/10.1007/978-3-319-47106-8_27;304-310;7;Graduate Student Papers;
2016;Vanessa Veloso,Thiago Oliveira,Altino Dantas,Jerffeson Souza;Dynamic Bugs Prioritization in Open Source Repositories with Evolutionary Techniques.;http://dx.doi.org/10.1007/978-3-319-47106-8_28;311-316;6;Graduate Student Papers;
2015;Kenneth de Jong;Co-Evolutionary Algorithms: A Useful Computational Abstraction?;http://dx.doi.org/10.1007/978-3-319-22183-0_1;3-11;9;Invited Talks;
2015;William B. Langdon;Genetic Improvement of Software for Multiple Objectives.;http://dx.doi.org/10.1007/978-3-319-22183-0_2;12-28;17;Invited Talks;
2015;Shin Yoo;Amortised Optimisation of Non-functional Properties in Production Environments.;http://dx.doi.org/10.1007/978-3-319-22183-0_3;31-46;16;Research Papers;
2015;Chris Simons,Jeremy Singer,David Robert White 0001;Search-Based Refactoring: Metrics Are Not Enough.;http://dx.doi.org/10.1007/978-3-319-22183-0_4;47-61;15;Research Papers;
2015;José Manuel Calderón Trilla,Simon M. Poulding,Colin Runciman;Weaving Parallel Threads - Searching for Useful Parallelism in Functional Programs.;http://dx.doi.org/10.1007/978-3-319-22183-0_5;62-76;15;Research Papers;
2015;Mahmoud A. Bokhari,Thorsten Bormer,Markus Wagner 0007;An Improved Beam-Search for the Test Case Generation for Formal Verification Systems.;http://dx.doi.org/10.1007/978-3-319-22183-0_6;77-92;16;Research Papers;
2015;José Miguel Rojas,José Campos,Mattia Vivanti,Gordon Fraser,Andrea Arcuri;Combining Multiple Coverage Criteria in Search-Based Unit Test Generation.;http://dx.doi.org/10.1007/978-3-319-22183-0_7;93-108;16;Research Papers;
2015;Fang Yuan,Yi Bian,Zheng Li,Ruilian Zhao;Epistatic Genetic Algorithm for Test Case Prioritization.;http://dx.doi.org/10.1007/978-3-319-22183-0_8;109-124;16;Research Papers;
2015;Zoltan A. Kocsis,Alexander E. I. Brownlee,Jerry Swan,Richard Senington;Haiku - a Scala Combinator Toolkit for Semi-automated Composition of Metaheuristics.;http://dx.doi.org/10.1007/978-3-319-22183-0_9;125-140;16;Research Papers;
2015;David Paterson,Jonathan Turner,Thomas White,Gordon Fraser;Parameter Control in Search-Based Generation of Unit Test Suites.;http://dx.doi.org/10.1007/978-3-319-22183-0_10;141-156;16;Research Papers;
2015;Dario Di Nucci,Annibale Panichella,Andy Zaidman,Andrea De Lucia;Hypervolume-Based Search for Test Case Prioritization.;http://dx.doi.org/10.1007/978-3-319-22183-0_11;157-172;16;Research Papers;
2015;Thainá Mariani,Silvia Regina Vergilio,Thelma Elita Colanzi;Optimizing Aspect-Oriented Product Line Architectures with Search-Based Algorithms.;http://dx.doi.org/10.1007/978-3-319-22183-0_12;173-187;15;Research Papers;
2015;Aldeida Aleti,Madalina M. Drugan;Adaptive Neighbourhood Search for the Component Deployment Problem.;http://dx.doi.org/10.1007/978-3-319-22183-0_13;188-202;15;Research Papers;
2015;He Jiang,Zhilei Ren,Xiaochen Li,Xiaochen Lai;Transformed Search Based Software Engineering: A New Paradigm of SBSE.;http://dx.doi.org/10.1007/978-3-319-22183-0_14;203-218;16;Research Papers;
2015;Yi Bian,Serkan Kirbas,Mark Harman,Yue Jia,Zheng Li;Regression Test Case Prioritisation for Guava.;http://dx.doi.org/10.1007/978-3-319-22183-0_15;221-227;7;SBSE Challenge Papers;
2015;José Campos,Gordon Fraser,Andrea Arcuri,Rui Abreu;Continuous Test Generation on Guava.;http://dx.doi.org/10.1007/978-3-319-22183-0_16;228-234;7;SBSE Challenge Papers;
2015;Ermira Daka,José Campos,Jonathan Dorn,Gordon Fraser,Westley Weimer;Generating Readable Unit Tests for Guava.;http://dx.doi.org/10.1007/978-3-319-22183-0_17;235-241;7;SBSE Challenge Papers;
2015;Justyna Petke;Testing Django Configurations Using Combinatorial Interaction Testing.;http://dx.doi.org/10.1007/978-3-319-22183-0_18;242-247;6;SBSE Challenge Papers;
2015;Andrea Mattavelli,Alberto Goffi,Alessandra Gorla;Synthesis of Equivalent Method Calls in Guava.;http://dx.doi.org/10.1007/978-3-319-22183-0_19;248-254;7;SBSE Challenge Papers;
2015;Nathan Burles,Edward Bowles,Alexander E. I. Brownlee,Zoltan A. Kocsis,Jerry Swan,Nadarajen Veerapen;Object-Oriented Genetic Improvement for Improved Energy Consumption in Google Guava.;http://dx.doi.org/10.1007/978-3-319-22183-0_20;255-261;7;SBSE Challenge Papers;
2015;Alexandru Marginean,Earl T. Barr,Mark Harman,Yue Jia;Automated Transplantation of Call Graph and Layout Features into Kate.;http://dx.doi.org/10.1007/978-3-319-22183-0_21;262-268;7;SBSE Challenge Papers;
2015;Yue Jia,Mark Harman,William B. Langdon,Alexandru Marginean;Grow and Serve: Growing Django Citation Services Using SBSE.;http://dx.doi.org/10.1007/978-3-319-22183-0_22;269-275;7;SBSE Challenge Papers;
2015;Nathan Burles,Edward Bowles,Bobby R. Bruce,Komsan Srivisut;Specialising Guava's Cache to Reduce Energy Consumption.;http://dx.doi.org/10.1007/978-3-319-22183-0_23;276-281;6;SBSE Challenge Papers;
2015;Matheus Paixão,Mark Harman,Yuanyuan Zhang;Multi-objective Module Clustering for Kate.;http://dx.doi.org/10.1007/978-3-319-22183-0_24;282-288;7;SBSE Challenge Papers;
2015;Lingbo Li,Mark Harman,Fan Wu,Yuanyuan Zhang;SBSelector: Search Based Component Selection for Budget Hardware.;http://dx.doi.org/10.1007/978-3-319-22183-0_25;289-294;6;SBSE Challenge Papers;
2015;Duany Dreyton,Allysson Allex Araújo,Altino Dantas,Átila Freitas,Jerffeson Souza;Search-Based Bug Report Prioritization for Kate Editor Bugs Repository.;http://dx.doi.org/10.1007/978-3-319-22183-0_26;295-300;6;SBSE Challenge Papers;
2015;Yuanyuan Zhang,Mark Harman,Yue Jia,Federica Sarro;Inferring Test Models from Kate's Bug Reports Using Multi-objective Search.;http://dx.doi.org/10.1007/978-3-319-22183-0_27;301-307;7;SBSE Challenge Papers;
2015;Yongrui Xu,Peng Liang,Muhammad Ali Babar;Introducing Learning Mechanism for Class Responsibility Assignment Problem.;http://dx.doi.org/10.1007/978-3-319-22183-0_28;311-317;7;Short Papers;
2015;Geoffrey Neumann,Mark Harman,Simon M. Poulding;Transformed Vargha-Delaney Effect Size.;http://dx.doi.org/10.1007/978-3-319-22183-0_29;318-324;7;Short Papers;
2015;Édipo Luis Féderle,Thiago do Nascimento Ferreira,Thelma Elita Colanzi,Silvia Regina Vergilio;Optimizing Software Product Line Architectures with OPLA-Tool.;http://dx.doi.org/10.1007/978-3-319-22183-0_30;325-331;7;Short Papers;
2015;Matthew Patrick,Yue Jia;Exploring the Landscape of Non-Functional Program Properties Using Spatial Analysis.;http://dx.doi.org/10.1007/978-3-319-22183-0_31;332-338;7;Short Papers;
2015;Altino Dantas,Italo Yeltsin,Allysson Allex Araújo,Jerffeson Souza;Interactive Software Release Planning with Preferences Base.;http://dx.doi.org/10.1007/978-3-319-22183-0_32;341-346;6;Graduate Student Papers;
2015;Emil Rubinic,Goran Mausa,Tihana Galinac Grbac;Software Defect Classification with a Variant of NSGA-II and Simple Voting Strategies.;http://dx.doi.org/10.1007/978-3-319-22183-0_33;347-353;7;Graduate Student Papers;
2014;Andrea Arcuri,Gordon Fraser;On the Effectiveness of Whole Test Suite Generation.;http://dx.doi.org/10.1007/978-3-319-09940-8_1;1-15;15;Full Research Papers;
2014;Omar Benomar,Houari A. Sahraoui,Pierre Poulin;Detecting Program Execution Phases Using Heuristic Search.;http://dx.doi.org/10.1007/978-3-319-09940-8_2;16-30;15;Full Research Papers;
2014;Boukhdhir Amal,Marouane Kessentini,Slim Bechikh,Josselin Dea,Lamjed Ben Said;On the Use of Machine Learning and Search-Based Software Engineering for Ill-Defined Fitness Function: A Case Study on Software Refactoring.;http://dx.doi.org/10.1007/978-3-319-09940-8_3;31-45;15;Full Research Papers;
2014;Jorge Andrés Díaz Pace,Matias Nicoletti,Silvia N. Schiaffino,Santiago A. Vidal;Producing Just Enough Documentation: The Next SAD Version Problem.;http://dx.doi.org/10.1007/978-3-319-09940-8_4;46-60;15;Full Research Papers;
2014;Danilo Ardagna,Giovanni Paolo Gibilisco,Michele Ciavotta,Alexander Lavrentev;A Multi-model Optimization Framework for the Model Driven Design of Cloud Applications.;http://dx.doi.org/10.1007/978-3-319-09940-8_5;61-76;16;Full Research Papers;
2014;Giovani Guizzo,Thelma Elita Colanzi,Silvia Regina Vergilio;A Pattern-Driven Mutation Operator for Search-Based Product Line Architecture Design.;http://dx.doi.org/10.1007/978-3-319-09940-8_6;77-91;15;Full Research Papers;
2014;Christopher Henard,Mike Papadakis,Yves Le Traon;Mutation-Based Generation of Software Product Line Test Configurations.;http://dx.doi.org/10.1007/978-3-319-09940-8_7;92-106;15;Full Research Papers;
2014;Vendula Hrubá,Bohuslav Krena,Zdenek Letko,Hana Pluhácková,Tomás Vojnar;Multi-objective Genetic Optimization for Noise-Based Testing of Concurrent Software.;http://dx.doi.org/10.1007/978-3-319-09940-8_8;107-122;16;Full Research Papers;
2014;Muhammad Rezaul Karim,Günther Ruhe;Bi-objective Genetic Search for Release Planning in Support of Themes.;http://dx.doi.org/10.1007/978-3-319-09940-8_9;123-137;15;Full Research Papers;
2014;Fitsum Meshesha Kifetew,Roberto Tiella,Paolo Tonella;Combining Stochastic Grammars and Genetic Programming for Coverage Testing at the System Level.;http://dx.doi.org/10.1007/978-3-319-09940-8_10;138-152;15;Full Research Papers;
2014;Lukas Linsbauer,Roberto Erick Lopez-Herrejon,Alexander Egyed;Feature Model Synthesis with Genetic Programming.;http://dx.doi.org/10.1007/978-3-319-09940-8_11;153-167;15;Full Research Papers;
2014;Mohamed Wiem Mkaouer,Marouane Kessentini,Slim Bechikh,Mel Ó Cinnéide;A Robust Multi-objective Approach for Software Refactoring under Uncertainty.;http://dx.doi.org/10.1007/978-3-319-09940-8_12;168-183;16;Full Research Papers;
2014;Shuai Wang,Shaukat Ali,Arnaud Gotlieb;Random-Weighted Search-Based Multi-objective Optimization Revisited.;http://dx.doi.org/10.1007/978-3-319-09940-8_13;199-214;16;Full Research Papers;
2014;Yongrui Xu,Peng Liang;A New Learning Mechanism for Resolving Inconsistencies in Using Cooperative Co-evolution Model.;http://dx.doi.org/10.1007/978-3-319-09940-8_14;215-221;7;Short Papers;
2014;Richard Fuchshuber,Márcio de Oliveira Barros;Improving Heuristics for the Next Release Problem through Landscape Visualization.;http://dx.doi.org/10.1007/978-3-319-09940-8_15;222-227;6;Graduate Student Track Papers;
2014;Allysson Allex Araújo,Matheus Paixão;Machine Learning for User Modeling in an Interactive Genetic Algorithm for the Next Release Problem.;http://dx.doi.org/10.1007/978-3-319-09940-8_16;228-233;6;Graduate Student Track Papers;
2014;Shadi Ghaith,Miao Wang 0002,Philip Perry,John Murphy 0001;Transaction Profile Estimation of Queueing Network Models for IT Systems Using a Search-Based Technique.;http://dx.doi.org/10.1007/978-3-319-09940-8_17;234-239;6;Graduate Student Track Papers;
2014;Mark Harman,Syed S. Islam,Yue Jia,Leandro L. Minku,Federica Sarro,Komsan Srivisut;Less is More: Temporal Fault Predictive Performance over Multiple Hadoop Releases.;http://dx.doi.org/10.1007/978-3-319-09940-8_18;240-246;7;SBSE Challenge Track Papers;
2014;Mark Harman,Yue Jia,William B. Langdon;Babel Pidgin: SBSE Can Grow and Graft Entirely New Functionality into a Real World System.;http://dx.doi.org/10.1007/978-3-319-09940-8_19;247-252;6;SBSE Challenge Track Papers;
2014;Haitao Dan,Mark Harman,Jens Krinke,Lingbo Li,Alexandru Marginean,Fan Wu;Pidgin Crasher: Searching for Minimised Crashing GUI Event Sequences.;http://dx.doi.org/10.1007/978-3-319-09940-8_20;253-258;6;SBSE Challenge Track Papers;
2014;Zoltan A. Kocsis,Geoffrey Neumann,Jerry Swan,Michael G. Epitropakis,Alexander E. I. Brownlee,Sami O. Haraldsson,Edward Bowles;Repairing and Optimizing Hadoop hashCode Implementations.;http://dx.doi.org/10.1007/978-3-319-09940-8_21;259-264;6;SBSE Challenge Track Papers;
2013;Westley Weimer;Advances in Automated Program Repair and a Call to Arms.;http://dx.doi.org/10.1007/978-3-642-39742-4_1;1-3;3;Keynote Addresses;
2013;Xin Yao;Some Recent Work on Multi-objective Approaches to Search-Based Software Engineering.;http://dx.doi.org/10.1007/978-3-642-39742-4_2;4-15;12;Keynote Addresses;
2013;David R. White;Cloud Computing and SBSE.;http://dx.doi.org/10.1007/978-3-642-39742-4_3;16-18;3;Tutorial;
2013;Wesley Klewerton Guez Assunção,Thelma Elita Colanzi,Silvia Regina Vergilio,Aurora Pozo;On the Application of the Multi-Evolutionary and Coupling-Based Approach with Different Aspect-Class Integration Testing Strategies.;http://dx.doi.org/10.1007/978-3-642-39742-4_4;19-33;15;Full Papers;
2013;Márcio de Oliveira Barros;An Experimental Study on Incremental Search-Based Software Engineering.;http://dx.doi.org/10.1007/978-3-642-39742-4_5;34-49;16;Full Papers;
2013;Mohamed Boussaa,Wael Kessentini,Marouane Kessentini,Slim Bechikh,Soukeina Ben Chikha;Competitive Coevolutionary Code-Smells Detection.;http://dx.doi.org/10.1007/978-3-642-39742-4_6;50-65;16;Full Papers;
2013;Lionel C. Briand,Yvan Labiche,Kathy Chen;A Multi-objective Genetic Algorithm to Rank State-Based Test Cases.;http://dx.doi.org/10.1007/978-3-642-39742-4_7;66-80;15;Full Papers;
2013;Erik M. Fredericks,Andres J. Ramirez,Betty H. C. Cheng;Validating Code-Level Behavior of Dynamic Adaptive Systems in the Face of Uncertainty.;http://dx.doi.org/10.1007/978-3-642-39742-4_8;81-95;15;Full Papers;
2013;Adnane Ghannem,Ghizlane El-Boussaidi,Marouane Kessentini;Model Refactoring Using Interactive Genetic Algorithm.;http://dx.doi.org/10.1007/978-3-642-39742-4_9;96-110;15;Full Papers;
2013;Zheng Li,Yi Bian,Ruilian Zhao,Jun Cheng;A Fine-Grained Parallel Multi-objective Test Case Prioritization on GPU.;http://dx.doi.org/10.1007/978-3-642-39742-4_10;111-125;15;Full Papers;
2013;Rim Mahouachi,Marouane Kessentini,Mel Ó Cinnéide;Search-Based Refactoring Detection Using Software Metrics Variation.;http://dx.doi.org/10.1007/978-3-642-39742-4_11;126-140;15;Full Papers;
2013;Reza Matinnejad,Shiva Nejati,Lionel C. Briand,Thomas Bruckmann,Claude Poull;Automated Model-in-the-Loop Testing of Continuous Controllers Using Search.;http://dx.doi.org/10.1007/978-3-642-39742-4_12;141-157;17;Full Papers;
2013;Michael Mayo,Simon A. Spacey;Predicting Regression Test Failures Using Genetic Algorithm-Selected Dynamic Performance Analysis Metrics.;http://dx.doi.org/10.1007/978-3-642-39742-4_13;158-171;14;Full Papers;
2013;Matheus Henrique Esteves Paixão,Jerffeson Teixeira de Souza;A Recoverable Robust Approach for the Next Release Problem.;http://dx.doi.org/10.1007/978-3-642-39742-4_14;172-187;16;Full Papers;
2013;Antônio Mauricio Pitangueira,Rita Suzana Pitangueira Maciel,Márcio de Oliveira Barros,Aline Maria Santos Andrade;A Systematic Review of Software Requirements Selection and Prioritization Using SBSE Approaches.;http://dx.doi.org/10.1007/978-3-642-39742-4_15;188-208;21;Full Papers;
2013;Jeffery Shelburg,Marouane Kessentini,Daniel R. Tauritz;Regression Testing for Model Transformations: A Multi-objective Approach.;http://dx.doi.org/10.1007/978-3-642-39742-4_16;209-223;15;Full Papers;
2013;Xiaoyuan Xie,Fei-Ching Kuo,Tsong Yueh Chen,Shin Yoo,Mark Harman;Provably Optimal and Human-Competitive Results in SBSE for Spectrum Based Fault Localisation.;http://dx.doi.org/10.1007/978-3-642-39742-4_17;224-238;15;Full Papers;
2013;Colin Atkinson,Marcus Kessel,Marcus Schumacher;On the Synergy between Search-Based and Search-Driven Software Engineering.;http://dx.doi.org/10.1007/978-3-642-39742-4_18;239-244;6;Short Papers;
2013;Sabrine Kalboussi,Slim Bechikh,Marouane Kessentini,Lamjed Ben Said;Preference-Based Many-Objective Evolutionary Testing Generates Harder Test Cases for Autonomous Agents.;http://dx.doi.org/10.1007/978-3-642-39742-4_19;245-250;6;Short Papers;
2013;Matthew Patrick,Robert Alexander,Manuel Oriol,John A. Clark;Efficient Subdomains for Random Testing.;http://dx.doi.org/10.1007/978-3-642-39742-4_20;251-256;6;Short Papers;
2013;Justyna Petke,William B. Langdon,Mark Harman;Applying Genetic Improvement to MiniSAT.;http://dx.doi.org/10.1007/978-3-642-39742-4_21;257-262;6;Short Papers;
2013;Christopher M. Poskitt,Simon M. Poulding;Using Contracts to Guide the Search-Based Verification of Concurrent Programs.;http://dx.doi.org/10.1007/978-3-642-39742-4_22;263-268;6;Short Papers;
2013;Sriharsha Vathsavayi,Outi Sievi-Korte,Kai Koskimies,Kari Systä;Planning Global Software Development Projects Using Genetic Algorithms.;http://dx.doi.org/10.1007/978-3-642-39742-4_23;269-274;6;Short Papers;
2013;Márcio de Oliveira Barros,Fábio de Almeida Farzat;What Can a Big Program Teach Us about Optimization?;http://dx.doi.org/10.1007/978-3-642-39742-4_24;275-281;7;Challenge Track Papers;
2013;Ana Filipa Nogueira,José Carlos Bregieiro Ribeiro,Francisco Fernández de Vega,Mário Alberto Zenha-Rela;eCrash: An Empirical Study on the Apache Ant Project.;http://dx.doi.org/10.1007/978-3-642-39742-4_25;282-287;6;Challenge Track Papers;
2013;Nesa Asoudeh,Yvan Labiche;A Multi-objective Genetic Algorithm for Generating Test Suites from Extended Finite State Machines.;http://dx.doi.org/10.1007/978-3-642-39742-4_26;288-293;6;Graduate Track Papers;
2013;Priti Bansal,Sangeeta Sabharwal,Shreya Malik,Vikhyat Arora,Vineet Kumar;An Approach to Test Set Generation for Pair-Wise Testing Using Genetic Algorithms.;http://dx.doi.org/10.1007/978-3-642-39742-4_27;294-299;6;Graduate Track Papers;
