Carina Alves; Universidade Federal de Pernambuco; Brazil
Annie Antón; Georgia Tech; USA
João Araújo; Universidade Nova de Lisboa; Portugal
Muneera Bano; University of Technology Sydney; Australia
Travis Breaux; Carnegie Mellon University; USA
Jim Buchan; Auckland University of Technology; New Zealand
Jaelson Castro; Univerisade Federal de Pernambuco; Brazil
Jane Cleland-Huang; DePaul University; USA
Daniela Damian; University of Victoria; Canada
Maya Daneva; University of Twente; The Netherlands
Christof Ebert; University of Stuttgart; Germany
Steve Fickas; University of Oregon; USA
Samuel Fricker; Blekinge Institute of Technology; Sweden
Sepideh Ghanavati; CRP Henri Tudor; Luxembourg
Stefania Gnesi; ISTI-CNR; Italy
Tony Gorschek; Blekinge Institute of Technology; Sweden
Jane Hayes; University of Kentucky; USA
Jennifer Horkoff; City University London; UK
Naveed Ikram; Riphah International University; Pakistan
Zhi Jin; Peking University; China
Ivan Jureta; University of Namur; Belgium
Marjo Kauppinen; Aalto University; Finland
Emmanuel Letier; University College of London; UK
Soo-Ling Lim; University College London; UK
Lin Liu; Tsinghua University; China
Pericles Loucopoulos; University of Manchester; UK
Walid Maalej; University of Hamburg; Germany
Patrick Mäder; Technische Universität Ilmenau; Germany
Ana Moreira; Universidade Nova de Lisboa; Portugal
Nan Niu; University of Cincinnati; USA
Bashar Nuseibeh; The Open University; UK
Andreas Opdahl; University of Bergen; Norway
Barbara Paech; Heidelberg University; Germany
Liliana Pasquale; Lero; Ireland
Oscar Pastor; Univesitat Politecnica de Valencia; Spain
Xin Peng; Fudan University; China
Birgit Penzenstadler; University of California; Irvine
Anna Perini; FBK-CIT; Italy
Roshanak Roshandel; Seattle University; USA
Julia Rubin; MIT CSAIL; USA
Mehrdad Sabetzadeh; University of Luxembourg; Luxembourg
Pete Sawyer; Lancaster University; UK
Kurt Schneider; Leibniz Universität Hannover; Germany
Norbert Seyff; University of Zurich; Switzerland
Guttorm Sindre; NTNU; Norway
Eric Yu; University of Toronto; Canada
Andrea Zisman; The Open University; UK
Ian Alexander; Scenario Plus; UK
David Callele; University of Saskatchewan; Canada
Chad Coulin; Barrick Gold Corporation; Australia
Jeremy Dick; Integrate Systems Engineering LTD; UK
Carlos Henrique Cabral Duarte; Banco Nacional do Desenvolvimento; Brazil
Markus Flueckiger; Zuehlke AG; Germany
Michael Felderer; QE LaB Business Services GmbH and University of Innsbruck; Austria
Anne Hoffman; Siemens AG; Germany
Frank Houdek; Daimler AG; Germany
Sami Jantunen; Lapeenranta University of Technology; Finland
Lena Johansson; TetraPak; Sweden
Eric Knauss; Chalmers and University of Gothenberg; Sweden
Kim Lauenroth; Adesso AG; Germany
Alistair Mavin; Rolls Royce PLC; UK
Andriy Miranskyy; Ryerson University; Canada
Juha Savolainen; Danfoss Power Electronics A/S; Denmark
Erik Simmons; Intel Corporation; USA
Eero Uusitalo; IntoWorks; Finland
Tao Yue; Simula Research Laboratory; Norway
Dan Berry; University of Waterloo; Canada 
Anthony Finkelstein; University College of London; UK 
Martin Glinz; University of Zürich; Switzerland 
Olly Gotel; Independent Researcher; USA 
Mats Heimdahl; University of Minnesota; USA 
Julio-Cesar Leite; PUC-Rio; Brazil 
Robyn Lutz; Iowa State University; USA 
John Mylopoulos; University of Toronto; Canada 
Klaus Pohl; Universität Duisburg-Essen; Germany 
Alistair Sutcliffe; University of Lancaster; UK 
Roel Wieringa; University of Twente; The Netherlands 
