2014;main;Bram Adams;École Polytechnique de Montréal;Canada
2014;main;Caitlin Sadowski;University of California at Santa Cruz;USA
2014;main;Chanchal K. Roy;University of Saskatchewan;Canada
2014;main;Chris Parnin;Georgia Institute of Technology;USA
2014;main;Christoph Treude;McGill University;Canada
2014;main;Daniel German;University of Victoria;Canada
2014;main;David Lo;Singapore Management University;Singapore
2014;main;Denys Poshyvanyk;College of William and Mary;USA
2014;main;Dongmei Zhang;Microsoft Research;China
2014;main;Emad Shihab;Rochester Institute of Technology;USA
2014;main;Emily Hill;Montclair State University;USA
2014;main;Foutse Khomh;DGIGL;Ecole Polytechnique de Montréal;Canada
2014;main;Gabriele Bavota;University of Sannio;Italy
2014;main;Gail Murphy;UBC;Canada
2014;main;Girish Maskeri;Infosys Technologies Limited;India
2014;main;Giuliano Antoniol;Ecole Polytechnique de Montréal;Canada
2014;main;Harald Gall;University of Zurich;Switzerland
2014;main;Hongyu Zhang;Tsinghua University;China
2014;main;Huzefa Kagdi;Wichita State University;USA
2014;main;Israel Herraiz;Universidad Politécnica de Madrid;Spain
2014;main;Jim Whitehead;University of California;Santa Cruz;USA
2014;main;J. González-Barahona;Universidad Rey Juan Carlos;Spain
2014;main;Lin Tan;University of Waterloo;Canada
2014;main;Margaret-Anne Storey;University of Victoria;Canada
2014;main;Mark Harman;University College London;London
2014;main;Martin Robillard;McGill University;Canada
2014;main;Massimiliano Di Penta;Dept. of Engineering - University of Sannio;Italy
2014;main;Meiyappan Nagappan;Queen's University;Canada
2014;main;Olga	Baysal;University of Waterloo;Canada
2014;main;Peter Rotella;Cisco Systems;USA
2014;main;Romain Robbes;University of Chile;Chile
2014;main;Sonia Haiduc;Florida State University;USA
2014;main;Stephan Diehl;University Trier;Germany
2014;main;Suresh Thummalapenta;Department of Computer Science;North Carolina State University;USA
2014;main;Tao Xie;University of Illinois at Urbana-Champaign;USA
2014;main;Tim Menzies;West Virginia University;USA
2014;main;Thomas Fritz;University of Zurich;Zurich
2014;main;Thomas Zimmermann;Microsoft Research;USA
2014;main;Vibha Sinha;IBM Research Lab;India
2014;main;Yossi Gil;The Technion;Israel
2013;main;Mithun Acharya;ABB Research;USA
