2016;main;Michele	Lanza
2016;main;Bram Adams
2016;main;Giuliano Antoniol
2016;main;Venera Arnaoudova
2016;main;Alberto Bacchelli
2016;main;Olga Baysal
2016;main;Roman Bednarik
2016;main;Andrew Begel
2016;main;Christian Bird
2016;main;Mariano Ceccato
2016;main;Anthony Cleve
2016;main;Andrea De Lucia
2016;main;Serge Demeyer
2016;main;Massimiliano Di Penta
2016;main;Natalia Dragan
2016;main;Thomas Fritz
2016;main;Harald C. Gall
2016;main;Alessandro Garcia
2016;main;Michael W. Godfrey
2016;main;Carmine Gravino
2016;main;Yann-Gael Gueheneuc
2016;main;Tibor Gyimothy
2016;main;Sonia Haiduc
2016;main;Stefan Hanenberg
2016;main;Mark Harman
2016;main;Ahmed E. Hassan
2016;main;Abram Hindle
2016;main;Huzefa H. Kagdi
2016;main;Foutse Khomh
2016;main;Rainer Koschke
2016;main;Shinji Kusumoto
2016;main;Michele Lanza
2016;main;Andrian Marcus
2016;main;Cristina Marinescu
2016;main;Leon Moonen
2016;main;Rocco Oliveto
2016;main;Annibale Panichella
2016;main;Chris Parnin
2016;main;Denys Poshyvanyk
2016;main;Vaclav Rajlich
2016;main;Tobias Roehm
2016;main;Giuseppe Scanniello
2016;main;Alexander Serebrenik
2016;main;David Shepherd
2016;main;Emad Shihab
2016;main;Janet Siegmund
2016;main;Paolo Tonella
2016;main;Nikolaos Tsantalis
2016;main;Aiko Fallas Yamashita
2016;main;Andy Zaidman
2016;main;Bogdan Dit
2016;main;Latifa Guerrouj
2016;main;Lingxiao Jiang
2016;main;Yasutaka Kamei
2016;main;Lucia Lucia
2016;main;Sebastiano Panichella
2016;main;Xin Peng
2016;main;Shivani Rao
2016;main;Suresh Thummalapenta
2016;main;Xiaoying Wang
2016;main;Xin Xia
2016;main;Hongyu Zhang
2016;main;Jairo Aponte
2016;main;Alexandre Bergel
2016;main;Jens Knodel
2016;main;Shane McIntosh
2016;main;Petru Mihancea
2016;main;Diomidis Spinellis
2015;main;Giuliano Antoniol
2015;main;Venera Arnaoudova
2015;main;Alberto Bacchelli
2015;main;Olga Baysal
2015;main;Andrew Begel
2015;main;Dirk Beyer
2015;main;David M. Binkley
2015;main;Mariano Ceccato
2015;main;James R. Cordy
2015;main;Serge Demeye
2015;main;Massimiliano Di Penta
2015;main;Thomas Fritz
2015;main;Alessandro Garcia
2015;main;Michael W. Godfrey
2015;main;Mark Grechanik
2015;main;Stefan Hanenberg
2015;main;Mark Harman
2015;main;Emily Hill
2015;main;Abram Hindle
2015;main;Daqing Hou
2015;main;Katsuro Inoue
2015;main;Huzefa H. Kagdi
2015;main;Foutse Khomh
2015;main;Rainer Koschke
2015;main;Shinji Kusumoto
2015;main;Michele Lanza
2015;main;David Lo
2015;main;Jonathan I. Maletic
2015;main;Andrian Marcus
2015;main;Collin McMillan
2015;main;Leon Moonen
2015;main;Martin Pinzger
2015;main;Vaclav Rajlich
2015;main;Annibale Panichella
2015;main;Lori L. Pollock
2015;main;Denys Poshyvanyk
2015;main;Chanchal Kumar Roy
2015;main;Bonita Sharif
2015;main;Paolo Tonella
2015;main;Nikolas Tsantalis
2015;main;Bogdan Vasilescu
2015;main;Andy Zaidman
2015;main;Thomas Zimmermann
2015;main;Nicholas A. Kraft
2014;main;Bram Adams
2014;main;Gabriele Bavota
2014;main;Roman Bednarik
2014;main;Dirk Beyer
2014;main;David M. Binkley
2014;main;Chris Bird
2014;main;Gul Calikli
2014;main;James R. Cordy
2014;main;Rudolf Ferenc
2014;main;Alessandro Garcia
2014;main;Malcom Gethers
2014;main;Mark Grechanik
2014;main;Sonia Haiduc
2014;main;Stefan Hanenberg
2014;main;Emily Hill
2014;main;Daqing Hou
2014;main;Hiroshi Igaki
2014;main;Takashi Ishio
2014;main;Elmar Jurgens
2014;main;Huzefa H. Kagdi
2014;main;Takashi Kobayashi
2014;main;Nicholas A. Kraft
2014;main;Jens Krinke
2014;main;Ralf Lammel
2014;main;David Lo
2014;main;Andrea De Lucia
2014;main;Mircea Lungu
2014;main;Lutz Prechelt
2014;main;Collin McMillan
2014;main;Rocco Oliveto
2014;main;Chris Parnin
2014;main;Denys Poshyvanyk
2014;main;Jochen Quante
2014;main;Vaclav Rajlich
2014;main;Filippo Ricca
2014;main;Romain Robbes
2014;main;Coen De Roover
2014;main;Chanchal Kumar Roy
2014;main;Chandan Raj Rupakheti
2014;main;Bonita Sharif
2014;main;Emad Shihab
2014;main;Janet Siegmund
2014;main;Leif Singer
2014;main;Giriprasad Sridhara
2014;main;Andreas Stefik
2014;main;Zhenchang Xing
2013;main;Bram Adams
2013;main;Giuliano Antoniol
2013;main;Gabriele Bavota
2013;main;Andrew Begel
2013;main;Dirk Beyer
2013;main;David M. Binkley
2013;main;Mariano Ceccato
2013;main;Anthony Cleve
2013;main;Michael L. Collard
2013;main;James R. Cordy
2013;main;Andrea De Lucia
2013;main;Serge Demeyer
2013;main;Rudolf Ferenc
2013;main;Thomas Fritz
2013;main;Daniel M. German
2013;main;Malcom Gethers
2013;main;Mark Grechanik
2013;main;Abdelwahab Hamou-Lhadj
2013;main;Emily Hill
2013;main;Abram Hindle
2013;main;Daqing Hou
2013;main;Foutse Khomh
2013;main;Rainer Koschke
2013;main;Nicholas A. Kraft
2013;main;Jens Krinke
2013;main;Ralf Lammel
2013;main;Michele Lanza
2013;main;David Lo
2013;main;Jonathan I. Maletic
2013;main;Andrian Marcus
2013;main;Collin McMillan
2013;main;Leon Moonen
2013;main;Rocco Oliveto
2013;main;Martin Pinzger
2013;main;Lori L. Pollock
2013;main;Vaclav Rajlich
2013;main;Filippo Ricca
2013;main;Romain Robbes
2013;main;Chanchal Kumar Roy
2013;main;Giuseppe Scanniello
2013;main;Emad Shihab
2013;main;Andreas Stefik
2013;main;Paolo Tonella
2013;main;Arie van Deursen
2013;main;Zhengchang Xing
2013;main;Andy Zaidman
2013;main;Thomas Zimmermann
2012;main;Bram Adams
2012;main;Andrew Begel
2012;main;Christian Bird
2012;main;Marco D'Ambros
2012;main;Arie van Deursen
2012;main;Premkumar T. Devanbu
2012;main;Stephan Diehl
2012;main;Rudolf Ferenc
2012;main;Scott D. Fleming
2012;main;Tudor Girba
2012;main;Michael W. Godfrey
2012;main;Jesus M. Gonzalez-Barahona
2012;main;Abdelwahab Hamou-Lhadj
2012;main;Emily Hill
2012;main;Abram Hindle
2012;main;Reid Holmes
2012;main;Elmar Jurgens
2012;main;Andy Kellens
2012;main;Sunghun Kim
2012;main;Jens Krinke
2012;main;Irwin Kwan
2012;main;Dawn Lawrie
2012;main;Alessandro Marchetto
2012;main;Leon Moonen
2012;main;Oscar Nierstrasz
2012;main;Chris Parnin
2012;main;Martin Pinzger
2012;main;Denys Poshyvanyk
